模型名称：DUMP
合约名称：IF1305  
测试时间：2012-05-17 -- 2012-05-18
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：8%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	435
  指令总数：		435		  平均交易周期：1
  初始资金：		330000		  最终权益：	279316
  总收益率(盈利/初始资金)：	-15.36%	  盈利：	-50683.59
  扣除最大盈利后收益率：	-16.45%
  扣除最大亏损后收益率：	-14.80%

  可靠性(胜率)：	52.41%		  成交额：	675744000
  期望收益(平均R乘数)：	0.00R		  总手续费：	40545

  总交易次数：		435		
  盈利次数比例：	42.76%		  亏损次数比例：	47.36%
  平均利润率：		-0.04%		  平均每次盈利：	-117
  标准离差率：		-1762.9%		  标准离差：		410.92
  多头次数：		217		  空头次数：		217
  多头盈利次数：	91		  空头盈利次数：	95

  盈利次数：		186		  亏损次数：	206
  总盈利：		55380(16.78%)	  总亏损：	-65519(-19.85%)
  平均盈利率：		321(0.10%)	  平均亏损率：	-342(-0.10%)
  最大盈利额：		3600(1.18%)	  最大亏损额：	-1860(-0.62%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	6		  最大连续亏损次数：	11
  最大连续盈利：	3840(1.26%)	  最大连续亏损：	-3840(-1.21%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120517 10:45	2581.0	多头	20120517 10:46	2582.0	1	93	300	207.1	330207.1	正常
20120517 10:46	2582.0	空头	20120517 10:47	2579.6	1	93	720	627.1	330834.1	正常
20120517 10:47	2579.6	多头	20120517 10:48	2579.2	1	93	-120	-212.9	330621.2	正常
20120517 10:48	2579.2	空头	20120517 10:49	2577.6	1	93	480	387.1	331008.3	正常
20120517 10:49	2577.6	多头	20120517 10:50	2578.2	1	93	180	87.2	331095.5	正常
20120517 10:50	2578.2	空头	20120517 10:51	2579.2	1	93	-300	-392.8	330702.7	正常
20120517 10:51	2579.2	多头	20120517 10:52	2578.6	1	93	-180	-272.8	330429.9	正常
20120517 10:52	2578.6	空头	20120517 10:53	2578.0	1	93	180	87.2	330517.1	正常
20120517 10:53	2578.0	多头	20120517 10:54	2579.0	1	93	300	207.2	330724.3	正常
20120517 10:54	2579.0	空头	20120517 10:55	2577.4	1	93	480	387.2	331111.4	正常
20120517 10:55	2577.4	多头	20120517 10:56	2576.4	1	93	-300	-392.8	330718.7	正常
20120517 10:56	2576.4	空头	20120517 10:57	2577.2	1	93	-240	-332.8	330385.9	正常
20120517 10:57	2577.2	多头	20120517 10:58	2576.6	1	93	-180	-272.7	330113.2	正常
20120517 10:58	2576.6	空头	20120517 10:59	2577.4	1	93	-240	-332.7	329780.4	正常
20120517 10:59	2577.4	多头	20120517 11:00	2579.2	1	93	540	447.2	330227.6	正常
20120517 11:00	2579.2	空头	20120517 11:01	2578.2	1	93	300	207.2	330434.8	正常
