模型名称：DUMP
合约名称：IF1207  
测试时间：2012-06-12 -- 2012-06-13
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	362
  指令总数：		362		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147468416
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-15231.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	52.49%		  成交额：	552396736
  期望收益(平均R乘数)：	0.00R		  总手续费：	33144

  总交易次数：		362		
  盈利次数比例：	45.58%		  亏损次数比例：	47.24%
  平均利润率：		-0.00%		  平均每次盈利：	-42
  标准离差率：		-63861.8%		  标准离差：		422.90
  多头次数：		181		  空头次数：		180
  多头盈利次数：	86		  空头盈利次数：	79

  盈利次数：		165		  亏损次数：	171
  总盈利：		55020(0.00%)	  总亏损：	-55260(-0.00%)
  平均盈利率：		333(0.00%)	  平均亏损率：	-323(-0.00%)
  最大盈利额：		2040(0.00%)	  最大亏损额：	-1740(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	7		  最大连续亏损次数：	7
  最大连续盈利：	3300(0.00%)	  最大连续亏损：	-2940(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120612 13:43	2530.8	多头	20120612 13:44	2530.2	1	91	-180	-271.1	2147483392.0	正常
20120612 13:44	2530.2	空头	20120612 13:45	2531.6	1	91	-420	-511.2	2147482880.0	正常
20120612 13:45	2531.6	多头	20120612 13:46	2532.0	1	91	120	28.8	2147483008.0	正常
20120612 13:46	2532.0	空头	20120612 13:47	2532.0	1	91	0	-91.2	2147483008.0	正常
20120612 13:47	2532.0	多头	20120612 13:48	2532.2	1	91	60	-31.2	2147483008.0	正常
20120612 13:48	2532.2	空头	20120612 13:49	2530.2	1	91	600	508.9	2147483520.0	正常
20120612 13:49	2530.2	多头	20120612 13:50	2530.6	1	91	120	28.9	2147483648.0	正常
20120612 13:50	2530.6	空头	20120612 13:51	2530.0	1	91	180	88.9	2147483904.0	正常
20120612 13:51	2530.0	多头	20120612 13:52	2530.6	1	91	180	88.9	2147484160.0	正常
20120612 13:52	2530.6	空头	20120612 13:53	2532.0	1	91	-420	-511.1	2147483648.0	正常
20120612 13:53	2532.0	多头	20120612 13:54	2531.0	1	91	-300	-391.1	2147483264.0	正常
20120612 13:54	2531.0	空头	20120612 13:55	2531.2	1	91	-60	-151.1	2147483136.0	正常
20120612 13:55	2531.2	多头	20120612 13:56	2528.8	1	91	-720	-811.1	2147482368.0	正常
20120612 13:56	2528.8	空头	20120612 13:57	2528.6	1	91	60	-31.0	2147482368.0	正常
20120612 13:57	2528.6	多头	20120612 13:58	2528.2	1	91	-120	-211.1	2147482240.0	正常
20120612 13:58	2528.2	空头	20120612 13:59	2527.6	1	91	180	89.0	2147482368.0	正常
20120612 13:59	2527.6	多头	20120612 14:00	2525.8	1	91	-540	-631.0	2147481728.0	正常
20120612 14:00	2525.8	空头	20120612 14:01	2526.0	1	91	-60	-150.9	2147481600.0	正常
20120612 14:01	2526.0	多头	20120612 14:02	2525.6	1	91	-120	-210.9	2147481472.0	正常
20120612 14:02	2525.6	空头	20120612 14:03	2526.4	1	91	-240	-330.9	2147481216.0	正常
20120612 14:03	2526.4	多头	20120612 14:04	2526.0	1	91	-120	-210.9	2147481088.0	正常
20120612 14:04	2526.0	空头	20120612 14:05	2524.2	1	91	540	449.1	2147481600.0	正常
20120612 14:05	2524.2	多头	20120612 14:06	2523.0	1	91	-360	-450.8	2147481216.0	正常
20120612 14:06	2523.0	空头	20120612 14:07	2523.0	1	91	0	-90.8	2147481216.0	正常
20120612 14:07	2523.0	多头	20120612 14:08	2523.4	1	91	120	29.1	2147481344.0	正常
20120612 14:08	2523.4	空头	20120612 14:09	2522.0	1	91	420	329.2	2147481728.0	正常
20120612 14:09	2522.0	多头	20120612 14:10	2522.6	1	91	180	89.2	2147481856.0	正常
20120612 14:10	2522.6	空头	20120612 14:11	2523.6	1	91	-300	-390.8	2147481472.0	正常
20120612 14:11	2523.6	多头	20120612 14:12	2523.6	1	91	0	-90.8	2147481472.0	正常
20120612 14:12	2523.6	空头	20120612 14:13	2521.0	1	91	780	689.2	2147482240.0	正常
20120612 14:13	2521.0	多头	20120612 14:14	2522.4	1	91	420	329.2	2147482624.0	正常
20120612 14:14	2522.4	空头	20120612 14:15	2523.0	1	91	-180	-270.8	2147482368.0	正常
20120612 14:15	2523.0	多头	20120612 14:16	2523.2	1	91	60	-30.8	2147482368.0	正常
20120612 14:16	2523.2	空头	20120612 14:17	2523.6	1	91	-120	-210.9	2147482240.0	正常
20120612 14:17	2523.6	多头	20120612 14:18	2524.6	1	91	300	209.1	2147482496.0	正常
20120612 14:18	2524.6	空头	20120612 14:19	2523.2	1	91	420	329.2	2147482880.0	正常
20120612 14:19	2523.2	多头	20120612 14:20	2522.2	1	91	-300	-390.8	2147482496.0	正常
20120612 14:20	2522.2	空头	20120612 14:21	2523.2	1	91	-300	-390.8	2147482112.0	正常
20120612 14:21	2523.2	多头	20120612 14:22	2522.4	1	91	-240	-330.8	2147481856.0	正常
20120612 14:22	2522.4	空头	20120612 14:23	2523.0	1	91	-180	-270.8	2147481600.0	正常
20120612 14:23	2523.0	多头	20120612 14:24	2524.4	1	91	420	329.1	2147481984.0	正常
20120612 14:24	2524.4	空头	20120612 14:25	2522.8	1	91	480	389.1	2147482368.0	正常
20120612 14:25	2522.8	多头	20120612 14:26	2521.8	1	91	-300	-390.8	2147481984.0	正常
20120612 14:26	2521.8	空头	20120612 14:27	2522.4	1	91	-180	-270.8	2147481728.0	正常
20120612 14:27	2522.4	多头	20120612 14:28	2521.8	1	91	-180	-270.8	2147481472.0	正常
20120612 14:28	2521.8	空头	20120612 14:29	2522.6	1	91	-240	-330.8	2147481216.0	正常
20120612 14:29	2522.6	多头	20120612 14:30	2523.0	1	91	120	29.1	2147481344.0	正常
20120612 14:30	2523.0	空头	20120612 14:31	2524.4	1	91	-420	-510.8	2147480832.0	正常
20120612 14:31	2524.4	多头	20120612 14:32	2525.4	1	91	300	209.1	2147481088.0	正常
20120612 14:32	2525.4	空头	20120612 14:33	2526.6	1	91	-360	-451.0	2147480704.0	正常
20120612 14:33	2526.6	多头	20120612 14:34	2525.8	1	91	-240	-331.0	2147480448.0	正常
20120612 14:34	2525.8	空头	20120612 14:35	2526.2	1	91	-120	-210.9	2147480320.0	正常
20120612 14:35	2526.2	多头	20120612 14:36	2523.8	1	91	-720	-810.9	2147479552.0	正常
20120612 14:36	2523.8	空头	20120612 14:37	2521.4	1	91	720	629.2	2147480192.0	正常
20120612 14:37	2521.4	多头	20120612 14:38	2522.0	1	91	180	89.2	2147480320.0	正常
20120612 14:38	2522.0	空头	20120612 14:39	2522.6	1	91	-180	-270.8	2147480064.0	正常
20120612 14:39	2522.6	多头	20120612 14:40	2522.2	1	91	-120	-210.9	2147479936.0	正常
20120612 14:40	2522.2	空头	20120612 14:41	2521.8	1	91	120	29.2	2147480064.0	正常
20120612 14:41	2521.8	多头	20120612 14:42	2522.8	1	91	300	209.2	2147480320.0	正常
20120612 14:42	2522.8	空头	20120612 14:43	2522.8	1	91	0	-90.8	2147480320.0	正常
20120612 14:43	2522.8	多头	20120612 14:44	2522.2	1	91	-180	-270.8	2147480064.0	正常
20120612 14:44	2522.2	空头	20120612 14:45	2522.6	1	91	-120	-210.9	2147479936.0	正常
20120612 14:45	2522.6	多头	20120612 14:46	2523.0	1	91	120	29.1	2147480064.0	正常
20120612 14:46	2523.0	空头	20120612 14:47	2523.2	1	91	-60	-150.8	2147479936.0	正常
20120612 14:47	2523.2	多头	20120612 14:48	2523.0	1	91	-60	-150.8	2147479808.0	正常
20120612 14:48	2523.0	空头	20120612 14:49	2522.0	1	91	300	209.2	2147480064.0	正常
20120612 14:49	2522.0	多头	20120612 14:50	2521.4	1	91	-180	-270.8	2147479808.0	正常
20120612 14:50	2521.4	空头	20120612 14:51	2521.4	1	91	0	-90.8	2147479808.0	正常
20120612 14:51	2521.4	多头	20120612 14:52	2522.4	1	91	300	209.2	2147480064.0	正常
20120612 14:52	2522.4	空头	20120612 14:53	2522.4	1	91	0	-90.8	2147480064.0	正常
20120612 14:53	2522.4	多头	20120612 14:54	2522.8	1	91	120	29.2	2147480192.0	正常
20120612 14:54	2522.8	空头	20120612 14:55	2523.0	1	91	-60	-150.8	2147480064.0	正常
20120612 14:55	2523.0	多头	20120612 14:56	2523.0	1	91	0	-90.8	2147480064.0	正常
20120612 14:56	2523.0	空头	20120612 14:57	2523.4	1	91	-120	-210.8	2147479936.0	正常
20120612 14:57	2523.4	多头	20120612 14:58	2523.0	1	91	-120	-210.8	2147479808.0	正常
20120612 14:58	2523.0	空头	20120612 14:59	2523.2	1	91	-60	-150.8	2147479680.0	正常
20120612 14:59	2523.2	多头	20120612 15:00	2523.2	1	91	0	-90.8	2147479680.0	正常
20120612 15:00	2523.2	空头	20120612 15:01	2523.6	1	91	-120	-210.9	2147479552.0	正常
20120612 15:01	2523.6	多头	20120612 15:02	2525.0	1	91	420	329.1	2147479936.0	正常
20120612 15:02	2525.0	空头	20120612 15:03	2524.6	1	91	120	29.1	2147480064.0	正常
20120612 15:03	2524.6	多头	20120612 15:04	2524.8	1	91	60	-30.9	2147480064.0	正常
20120612 15:04	2524.8	空头	20120612 15:05	2525.4	1	91	-180	-270.9	2147479808.0	正常
20120612 15:05	2525.4	多头	20120612 15:06	2525.6	1	91	60	-30.9	2147479808.0	正常
20120612 15:06	2525.6	空头	20120612 15:07	2525.6	1	91	0	-90.9	2147479808.0	正常
20120612 15:07	2525.6	多头	20120612 15:08	2526.4	1	91	240	149.0	2147480064.0	正常
20120612 15:08	2526.4	空头	20120612 15:09	2527.2	1	91	-240	-331.0	2147479808.0	正常
20120612 15:09	2527.2	多头	20120612 15:10	2527.2	1	91	0	-91.0	2147479808.0	正常
20120612 15:10	2527.2	空头	20120612 15:11	2526.4	1	91	240	149.0	2147480064.0	正常
20120612 15:11	2526.4	多头	20120612 15:12	2527.8	1	91	420	329.1	2147480448.0	正常
20120612 15:12	2527.8	空头	20120612 15:13	2529.4	1	91	-480	-571.0	2147479936.0	正常
20120612 15:13	2529.4	多头	20120612 15:14	2530.4	1	91	300	208.9	2147480192.0	正常
20120612 15:14	2530.4	空头	20120613 09:15	2532.0	1	91	-480	-571.2	2147479680.0	正常
20120613 09:15	2532.0	多头	20120613 09:16	2530.6	1	91	-420	-511.1	2147479168.0	正常
20120613 09:16	2530.6	空头	20120613 09:17	2532.4	1	91	-540	-631.1	2147478528.0	正常
20120613 09:17	2532.4	多头	20120613 09:18	2532.2	1	91	-60	-151.1	2147478400.0	正常
20120613 09:18	2532.2	空头	20120613 09:19	2532.2	1	91	0	-91.2	2147478400.0	正常
20120613 09:19	2532.2	多头	20120613 09:20	2533.8	1	91	480	388.8	2147478784.0	正常
20120613 09:20	2533.8	空头	20120613 09:21	2533.8	1	91	0	-91.2	2147478784.0	正常
20120613 09:21	2533.8	多头	20120613 09:22	2532.8	1	91	-300	-391.2	2147478400.0	正常
20120613 09:22	2532.8	空头	20120613 09:23	2532.6	1	91	60	-31.2	2147478400.0	正常
20120613 09:23	2532.6	多头	20120613 09:24	2533.6	1	91	300	208.8	2147478656.0	正常
20120613 09:24	2533.6	空头	20120613 09:25	2533.2	1	91	120	28.8	2147478784.0	正常
20120613 09:25	2533.2	多头	20120613 09:26	2534.0	1	91	240	148.8	2147479040.0	正常
20120613 09:26	2534.0	空头	20120613 09:27	2536.4	1	91	-720	-811.2	2147478272.0	正常
20120613 09:27	2536.4	多头	20120613 09:28	2536.0	1	91	-120	-211.3	2147478144.0	正常
20120613 09:28	2536.0	空头	20120613 09:29	2538.2	1	91	-660	-751.3	2147477376.0	正常
20120613 09:29	2538.2	多头	20120613 09:30	2540.4	1	91	660	568.6	2147478016.0	正常
20120613 09:30	2540.4	空头	20120613 09:31	2538.0	1	91	720	628.6	2147478656.0	正常
20120613 09:31	2538.0	多头	20120613 09:32	2538.4	1	91	120	28.6	2147478784.0	正常
20120613 09:32	2538.4	空头	20120613 09:33	2536.8	1	91	480	388.6	2147479168.0	正常
20120613 09:33	2536.8	多头	20120613 09:34	2537.2	1	91	120	28.6	2147479296.0	正常
20120613 09:34	2537.2	空头	20120613 09:35	2543.0	1	91	-1740	-1831.5	2147477504.0	正常
20120613 09:35	2543.0	多头	20120613 09:36	2539.0	1	91	-1200	-1291.5	2147476224.0	正常
20120613 09:36	2539.0	空头	20120613 09:37	2538.8	1	91	60	-31.4	2147476224.0	正常
20120613 09:37	2538.8	多头	20120613 09:38	2537.6	1	91	-360	-451.4	2147475840.0	正常
20120613 09:38	2537.6	空头	20120613 09:39	2539.0	1	91	-420	-511.3	2147475328.0	正常
20120613 09:39	2539.0	多头	20120613 09:40	2537.4	1	91	-480	-571.4	2147474816.0	正常
20120613 09:40	2537.4	空头	20120613 09:41	2538.4	1	91	-300	-391.4	2147474432.0	正常
20120613 09:41	2538.4	多头	20120613 09:42	2539.0	1	91	180	88.6	2147474560.0	正常
20120613 09:42	2539.0	空头	20120613 09:43	2538.8	1	91	60	-31.4	2147474560.0	正常
20120613 09:43	2538.8	多头	20120613 09:44	2539.4	1	91	180	88.5	2147474688.0	正常
20120613 09:44	2539.4	空头	20120613 09:45	2537.4	1	91	600	508.6	2147475200.0	正常
20120613 09:45	2537.4	多头	20120613 09:46	2536.0	1	91	-420	-511.3	2147474688.0	正常
20120613 09:46	2536.0	空头	20120613 09:47	2535.4	1	91	180	88.7	2147474816.0	正常
20120613 09:47	2535.4	多头	20120613 09:48	2535.0	1	91	-120	-211.2	2147474688.0	正常
20120613 09:48	2535.0	空头	20120613 09:49	2535.8	1	91	-240	-331.3	2147474432.0	正常
20120613 09:49	2535.8	多头	20120613 09:50	2535.0	1	91	-240	-331.3	2147474176.0	正常
20120613 09:50	2535.0	空头	20120613 09:51	2534.8	1	91	60	-31.3	2147474176.0	正常
20120613 09:51	2534.8	多头	20120613 09:52	2535.0	1	91	60	-31.3	2147474176.0	正常
20120613 09:52	2535.0	空头	20120613 09:53	2534.2	1	91	240	148.8	2147474432.0	正常
20120613 09:53	2534.2	多头	20120613 09:54	2536.0	1	91	540	448.8	2147474944.0	正常
20120613 09:54	2536.0	空头	20120613 09:55	2535.6	1	91	120	28.7	2147475072.0	正常
20120613 09:55	2535.6	多头	20120613 09:56	2536.0	1	91	120	28.7	2147475200.0	正常
20120613 09:56	2536.0	空头	20120613 09:57	2538.6	1	91	-780	-871.4	2147474432.0	正常
20120613 09:57	2538.6	多头	20120613 09:58	2537.4	1	91	-360	-451.4	2147474048.0	正常
20120613 09:58	2537.4	空头	20120613 09:59	2535.6	1	91	540	448.6	2147474560.0	正常
20120613 09:59	2535.6	多头	20120613 10:00	2535.4	1	91	-60	-151.3	2147474432.0	正常
20120613 10:00	2535.4	空头	20120613 10:01	2535.4	1	91	0	-91.3	2147474432.0	正常
20120613 10:01	2535.4	多头	20120613 10:02	2537.2	1	91	540	448.7	2147474944.0	正常
20120613 10:02	2537.2	空头	20120613 10:03	2535.6	1	91	480	388.6	2147475328.0	正常
20120613 10:03	2535.6	多头	20120613 10:04	2534.8	1	91	-240	-331.3	2147475072.0	正常
20120613 10:04	2534.8	空头	20120613 10:05	2532.6	1	91	660	568.8	2147475712.0	正常
20120613 10:05	2532.6	多头	20120613 10:06	2533.2	1	91	180	88.8	2147475840.0	正常
20120613 10:06	2533.2	空头	20120613 10:07	2534.4	1	91	-360	-451.2	2147475456.0	正常
20120613 10:07	2534.4	多头	20120613 10:08	2532.6	1	91	-540	-631.1	2147474816.0	正常
20120613 10:08	2532.6	空头	20120613 10:09	2532.4	1	91	60	-31.1	2147474816.0	正常
20120613 10:09	2532.4	多头	20120613 10:10	2533.2	1	91	240	148.8	2147475072.0	正常
20120613 10:10	2533.2	空头	20120613 10:11	2531.4	1	91	540	448.9	2147475584.0	正常
20120613 10:11	2531.4	多头	20120613 10:12	2530.8	1	91	-180	-271.1	2147475328.0	正常
20120613 10:12	2530.8	空头	20120613 10:13	2530.2	1	91	180	88.9	2147475456.0	正常
20120613 10:13	2530.2	多头	20120613 10:14	2530.4	1	91	60	-31.1	2147475456.0	正常
