模型名称：DUMP
合约名称：IF1207  
测试时间：2012-05-22 -- 2012-06-08
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300元/点
手续费：0.06‰
----------------------------------
  测试天数：		17		  测试周期数：	3740
  指令总数：		3740		  平均交易周期：1
  初始资金：		330000		  最终权益：	12568
  总收益率(盈利/初始资金)：	-96.19%	  盈利：	-317431.58
  扣除最大盈利后收益率：	-99.25%
  扣除最大亏损后收益率：	-93.90%

  可靠性(胜率)：	54.97%		  成交额：	5800472576
  期望收益(平均R乘数)：	0.02R		  总手续费：	348029

  总交易次数：		3740		
  盈利次数比例：	47.03%		  亏损次数比例：	45.00%
  平均利润率：		-0.03%		  平均每次盈利：	-85
  标准离差率：		5788.6%		  标准离差：		473.56
  多头次数：		1870		  空头次数：		1869
  多头盈利次数：	864		  空头盈利次数：	895

  盈利次数：		1759		  亏损次数：	1683
  总盈利：		586920(177.85%)	  总亏损：	-556324(-168.58%)
  平均盈利率：		1282(0.39%)	  平均亏损率：	-1234(-0.37%)
  最大盈利额：		10080(10.53%)	  最大亏损额：	-7560(-11.75%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	10		  最大连续亏损次数：	9
  最大连续盈利：	10080(8.34%)	  最大连续亏损：	-7620(-11.81%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120522 09:54	2602.0	多头	20120522 09:55	2601.8	1	94	-60	-153.7	329846.3	正常
20120522 09:55	2601.8	空头	20120522 09:56	2600.8	1	94	300	206.4	330052.7	正常
20120522 09:56	2600.8	多头	20120522 09:57	2600.0	1	94	-240	-333.6	329719.0	正常
20120522 09:57	2600.0	空头	20120522 09:58	2602.0	1	94	-600	-693.6	329025.4	正常
20120522 09:58	2602.0	多头	20120522 09:59	2603.0	1	94	300	206.3	329231.7	正常
20120522 09:59	2603.0	空头	20120522 10:00	2602.8	1	94	60	-33.7	329198.0	正常
20120522 10:00	2602.8	多头	20120522 10:01	2600.8	1	94	-600	-693.7	328504.3	正常
20120522 10:01	2600.8	空头	20120522 10:02	2600.4	1	94	120	26.4	328530.8	正常
20120522 10:02	2600.4	多头	20120522 10:03	2599.6	1	94	-240	-333.5	328197.2	正常
20120522 10:03	2599.6	空头	20120522 10:04	2599.8	1	94	-60	-153.6	328043.7	正常
20120522 10:04	2599.8	多头	20120522 10:05	2600.4	1	94	180	86.4	328130.0	正常
20120522 10:05	2600.4	空头	20120522 10:06	2599.4	1	94	300	206.4	328336.4	正常
20120522 10:06	2599.4	多头	20120522 10:07	2600.0	1	94	180	86.4	328422.8	正常
20120522 10:07	2600.0	空头	20120522 10:08	2598.8	1	94	360	266.4	328689.3	正常
20120522 10:08	2598.8	多头	20120522 10:09	2599.0	1	94	60	-33.6	328655.7	正常
20120522 10:09	2599.0	空头	20120522 10:10	2600.2	1	94	-360	-453.6	328202.1	正常
20120522 10:10	2600.2	多头	20120522 10:11	2600.2	1	94	0	-93.6	328108.5	正常
20120522 10:11	2600.2	空头	20120522 10:12	2599.0	1	94	360	266.4	328374.9	正常
20120522 10:12	2599.0	多头	20120522 10:13	2598.6	1	94	-120	-213.5	328161.4	正常
20120522 10:13	2598.6	空头	20120522 10:14	2599.6	1	94	-300	-393.6	327767.8	正常
20120522 10:14	2599.6	多头	20120522 10:15	2598.6	1	94	-300	-393.6	327374.3	正常
20120522 10:15	2598.6	空头	20120522 10:16	2599.6	1	94	-300	-393.6	326980.7	正常
20120522 10:16	2599.6	多头	20120522 10:17	2599.4	1	94	-60	-153.6	326827.1	正常
20120522 10:17	2599.4	空头	20120522 10:18	2601.0	1	94	-480	-573.6	326253.4	正常
20120522 10:18	2601.0	多头	20120522 10:19	2602.0	1	94	300	206.3	326459.8	正常
20120522 10:19	2602.0	空头	20120522 10:20	2601.8	1	94	60	-33.7	326426.1	正常
20120522 10:20	2601.8	多头	20120522 10:21	2602.4	1	94	180	86.3	326512.4	正常
20120522 10:21	2602.4	空头	20120522 10:22	2602.0	1	94	120	26.3	326538.7	正常
20120522 10:22	2602.0	多头	20120522 10:23	2599.2	1	94	-840	-933.6	325605.0	正常
20120522 10:23	2599.2	空头	20120522 10:24	2598.2	1	94	300	206.4	325811.5	正常
20120522 10:24	2598.2	多头	20120522 10:25	2599.4	1	94	360	266.4	326077.9	正常
20120522 10:25	2599.4	空头	20120522 10:26	2600.8	1	94	-420	-513.6	325564.3	正常
20120522 10:26	2600.8	多头	20120522 10:27	2606.8	1	94	1800	1706.3	327270.5	正常
20120522 10:27	2606.8	空头	20120522 10:28	2607.0	1	94	-60	-153.8	327116.7	正常
20120522 10:28	2607.0	多头	20120522 10:29	2603.0	1	94	-1200	-1293.8	325822.9	正常
20120522 10:29	2603.0	空头	20120522 10:30	2604.6	1	94	-480	-573.8	325249.2	正常
20120522 10:30	2604.6	多头	20120522 10:31	2604.2	1	94	-120	-213.8	325035.3	正常
20120522 10:31	2604.2	空头	20120522 10:32	2605.0	1	94	-240	-333.8	324701.6	正常
20120522 10:32	2605.0	多头	20120522 10:33	2607.4	1	94	720	626.1	325327.7	正常
20120522 10:33	2607.4	空头	20120522 10:34	2606.4	1	94	300	206.2	325533.9	正常
20120522 10:34	2606.4	多头	20120522 10:35	2606.0	1	94	-120	-213.8	325320.1	正常
20120522 10:35	2606.0	空头	20120522 10:36	2606.0	1	94	0	-93.8	325226.3	正常
20120522 10:36	2606.0	多头	20120522 10:37	2606.2	1	94	60	-33.8	325192.4	正常
20120522 10:37	2606.2	空头	20120522 10:38	2606.8	1	94	-180	-273.9	324918.6	正常
20120522 10:38	2606.8	多头	20120522 10:39	2606.2	1	94	-180	-273.9	324644.8	正常
20120522 10:39	2606.2	空头	20120522 10:40	2603.8	1	94	720	626.2	325270.9	正常
20120522 10:40	2603.8	多头	20120522 10:41	2604.8	1	94	300	206.2	325477.2	正常
20120522 10:41	2604.8	空头	20120522 10:42	2604.4	1	94	120	26.3	325503.5	正常
20120522 10:42	2604.4	多头	20120522 10:43	2605.8	1	94	420	326.3	325829.7	正常
20120522 10:43	2605.8	空头	20120522 10:44	2605.6	1	94	60	-33.8	325795.9	正常
20120522 10:44	2605.6	多头	20120522 10:45	2603.2	1	94	-720	-813.8	324982.1	正常
20120522 10:45	2603.2	空头	20120522 10:46	2602.4	1	94	240	146.3	325128.4	正常
20120522 10:46	2602.4	多头	20120522 10:47	2603.2	1	94	240	146.3	325274.8	正常
