模型名称：DUMP
合约名称：沪深300
测试时间：2012-06-12 -- 2012-06-13
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：0%
单位：300股/手
手续费：0.06‰
----------------------------------
  测试天数：		1		  测试周期数：	328
  指令总数：		328		  平均交易周期：1
  初始资金：		2147483647		  最终权益：	2147468544
  总收益率(盈利/初始资金)：	-0.00%	  盈利：	-15103.00
  扣除最大盈利后收益率：	-0.00%
  扣除最大亏损后收益率：	-0.00%

  可靠性(胜率)：	49.09%		  成交额：	503460032
  期望收益(平均R乘数)：	0.01R		  总手续费：	30208

  总交易次数：		328		
  盈利次数比例：	49.09%		  亏损次数比例：	50.61%
  平均利润率：		-0.00%		  平均每次盈利：	-46
  标准离差率：		13489.3%		  标准离差：		284.17
  多头次数：		164		  空头次数：		163
  多头盈利次数：	84		  空头盈利次数：	77

  盈利次数：		161		  亏损次数：	166
  总盈利：		32987(0.00%)	  总亏损：	-32296(-0.00%)
  平均盈利率：		205(0.00%)	  平均亏损率：	-195(-0.00%)
  最大盈利额：		2002(0.00%)	  最大亏损额：	-1040(-0.00%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	5		  最大连续亏损次数：	6
  最大连续盈利：	2002(0.00%)	  最大连续亏损：	-1315(-0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120612 13:33	2552.25	多头	20120612 13:34	2552.32	1	92	22	-69.98	2147483648.00	正常
20120612 13:34	2552.32	空头	20120612 13:35	2553.48	1	92	-348	-440.17	2147483264.00	正常
20120612 13:35	2553.48	多头	20120612 13:36	2552.70	1	92	-233	-324.75	2147483008.00	正常
20120612 13:36	2552.70	空头	20120612 13:37	2553.02	1	92	-97	-188.51	2147482880.00	正常
20120612 13:37	2553.02	多头	20120612 13:38	2553.34	1	92	94	2.35	2147482880.00	正常
20120612 13:38	2553.34	空头	20120612 13:39	2550.18	1	92	948	856.48	2147483904.00	正常
20120612 13:39	2550.18	多头	20120612 13:40	2550.41	1	92	68	-23.70	2147483904.00	正常
20120612 13:40	2550.41	空头	20120612 13:41	2550.59	1	92	-56	-147.92	2147483904.00	正常
20120612 13:41	2550.59	多头	20120612 13:42	2549.95	1	92	-194	-285.32	2147483648.00	正常
20120612 13:42	2549.95	空头	20120612 13:43	2549.04	1	92	271	179.14	2147483904.00	正常
20120612 13:43	2549.04	多头	20120612 13:44	2548.58	1	92	-139	-230.92	2147483648.00	正常
20120612 13:44	2548.58	空头	20120612 13:45	2548.99	1	92	-123	-214.73	2147483520.00	正常
20120612 13:45	2548.99	多头	20120612 13:46	2548.28	1	92	-212	-304.15	2147483264.00	正常
20120612 13:46	2548.28	空头	20120612 13:47	2548.38	1	92	-30	-121.48	2147483136.00	正常
20120612 13:47	2548.38	多头	20120612 13:48	2549.69	1	92	391	299.71	2147483520.00	正常
20120612 13:48	2549.69	空头	20120612 13:49	2550.03	1	92	-102	-194.11	2147483392.00	正常
20120612 13:49	2550.03	多头	20120612 13:50	2549.49	1	92	-162	-254.10	2147483136.00	正常
20120612 13:50	2549.49	空头	20120612 13:51	2549.02	1	92	140	48.63	2147483264.00	正常
20120612 13:51	2549.02	多头	20120612 13:52	2548.86	1	92	-47	-139.15	2147483136.00	正常
20120612 13:52	2548.86	空头	20120612 13:53	2549.32	1	92	-138	-230.05	2147483008.00	正常
20120612 13:53	2549.32	多头	20120612 13:54	2548.65	1	92	-202	-293.69	2147482752.00	正常
20120612 13:54	2548.65	空头	20120612 13:55	2549.09	1	92	-133	-224.99	2147482624.00	正常
20120612 13:55	2549.09	多头	20120612 13:56	2548.47	1	92	-188	-279.84	2147482368.00	正常
20120612 13:56	2548.47	空头	20120612 13:57	2546.76	1	92	512	420.69	2147482880.00	正常
20120612 13:57	2546.76	多头	20120612 13:58	2546.14	1	92	-187	-278.29	2147482624.00	正常
20120612 13:58	2546.14	空头	20120612 13:59	2546.02	1	92	33	-58.33	2147482624.00	正常
20120612 13:59	2546.02	多头	20120612 14:00	2546.63	1	92	182	90.78	2147482752.00	正常
20120612 14:00	2546.63	空头	20120612 14:01	2545.24	1	92	417	325.09	2147483136.00	正常
20120612 14:01	2545.24	多头	20120612 14:02	2544.72	1	92	-158	-249.68	2147482880.00	正常
20120612 14:02	2544.72	空头	20120612 14:03	2544.48	1	92	70	-21.37	2147482880.00	正常
20120612 14:03	2544.48	多头	20120612 14:04	2544.47	1	92	-5	-96.65	2147482880.00	正常
20120612 14:04	2544.47	空头	20120612 14:05	2543.38	1	92	326	234.57	2147483136.00	正常
20120612 14:05	2543.38	多头	20120612 14:06	2541.12	1	92	-678	-769.82	2147482368.00	正常
20120612 14:06	2541.12	空头	20120612 14:07	2541.33	1	91	-63	-154.47	2147482240.00	正常
20120612 14:07	2541.33	多头	20120612 14:08	2541.18	1	91	-45	-136.75	2147482112.00	正常
20120612 14:08	2541.18	空头	20120612 14:09	2541.37	1	91	-59	-150.89	2147481984.00	正常
20120612 14:09	2541.37	多头	20120612 14:10	2540.92	1	91	-135	-226.47	2147481856.00	正常
20120612 14:10	2540.92	空头	20120612 14:11	2541.04	1	91	-34	-125.02	2147481728.00	正常
20120612 14:11	2541.04	多头	20120612 14:12	2541.72	1	91	206	114.03	2147481856.00	正常
20120612 14:12	2541.72	空头	20120612 14:13	2541.67	1	92	17	-74.73	2147481856.00	正常
20120612 14:13	2541.67	多头	20120612 14:14	2539.95	1	91	-516	-607.46	2147481344.00	正常
20120612 14:14	2539.95	空头	20120612 14:15	2540.76	1	91	-243	-334.76	2147481088.00	正常
20120612 14:15	2540.76	多头	20120612 14:16	2541.02	1	91	81	-10.83	2147481088.00	正常
20120612 14:16	2541.02	空头	20120612 14:17	2542.22	1	91	-359	-450.90	2147480704.00	正常
20120612 14:17	2542.22	多头	20120612 14:18	2542.73	1	92	152	60.89	2147480832.00	正常
20120612 14:18	2542.73	空头	20120612 14:19	2543.03	1	92	-90	-181.27	2147480704.00	正常
20120612 14:19	2543.03	多头	20120612 14:20	2542.51	1	92	-157	-248.72	2147480448.00	正常
20120612 14:20	2542.51	空头	20120612 14:21	2542.49	1	92	6	-85.52	2147480448.00	正常
20120612 14:21	2542.49	多头	20120612 14:22	2542.55	1	92	21	-70.88	2147480448.00	正常
20120612 14:22	2542.55	空头	20120612 14:23	2542.65	1	92	-29	-120.32	2147480320.00	正常
20120612 14:23	2542.65	多头	20120612 14:24	2543.49	1	92	252	160.48	2147480576.00	正常
20120612 14:24	2543.49	空头	20120612 14:25	2543.78	1	92	-88	-179.46	2147480448.00	正常
20120612 14:25	2543.78	多头	20120612 14:26	2543.59	1	92	-57	-148.26	2147480320.00	正常
20120612 14:26	2543.59	空头	20120612 14:27	2542.47	1	92	337	245.66	2147480576.00	正常
20120612 14:27	2542.47	多头	20120612 14:28	2542.60	1	92	40	-51.32	2147480576.00	正常
20120612 14:28	2542.60	空头	20120612 14:29	2541.85	1	92	225	133.77	2147480704.00	正常
20120612 14:29	2541.85	多头	20120612 14:30	2543.03	1	92	353	261.87	2147480960.00	正常
20120612 14:30	2543.03	空头	20120612 14:31	2543.44	1	92	-123	-214.24	2147480832.00	正常
20120612 14:31	2543.44	多头	20120612 14:32	2544.20	1	92	228	136.72	2147480960.00	正常
20120612 14:32	2544.20	空头	20120612 14:33	2545.74	1	92	-460	-551.58	2147480448.00	正常
20120612 14:33	2545.74	多头	20120612 14:34	2546.77	1	92	311	219.39	2147480704.00	正常
20120612 14:34	2546.77	空头	20120612 14:35	2546.95	1	92	-54	-145.67	2147480576.00	正常
20120612 14:35	2546.95	多头	20120612 14:36	2546.48	1	92	-143	-234.43	2147480448.00	正常
20120612 14:36	2546.48	空头	20120612 14:37	2545.41	1	92	321	229.37	2147480704.00	正常
20120612 14:37	2545.41	多头	20120612 14:38	2543.66	1	92	-523	-614.19	2147480192.00	正常
20120612 14:38	2543.66	空头	20120612 14:39	2543.46	1	92	62	-29.46	2147480192.00	正常
20120612 14:39	2543.46	多头	20120612 14:40	2543.74	1	92	85	-6.39	2147480192.00	正常
20120612 14:40	2543.74	空头	20120612 14:41	2543.15	1	92	177	85.46	2147480320.00	正常
20120612 14:41	2543.15	多头	20120612 14:42	2542.65	1	92	-152	-243.30	2147480064.00	正常
20120612 14:42	2542.65	空头	20120612 14:43	2543.48	1	92	-250	-341.75	2147479808.00	正常
20120612 14:43	2543.48	多头	20120612 14:44	2543.15	1	92	-98	-190.00	2147479680.00	正常
20120612 14:44	2543.15	空头	20120612 14:45	2542.37	1	92	234	142.40	2147479808.00	正常
20120612 14:45	2542.37	多头	20120612 14:46	2542.70	1	92	98	6.83	2147479808.00	正常
20120612 14:46	2542.70	空头	20120612 14:47	2542.19	1	92	151	59.94	2147479936.00	正常
20120612 14:47	2542.19	多头	20120612 14:48	2542.07	1	92	-37	-128.43	2147479808.00	正常
20120612 14:48	2542.07	空头	20120612 14:49	2541.70	1	92	111	19.53	2147479936.00	正常
20120612 14:49	2541.70	多头	20120612 14:50	2540.98	1	91	-216	-307.77	2147479680.00	正常
20120612 14:50	2540.98	空头	20120612 14:51	2540.95	1	91	10	-81.88	2147479680.00	正常
20120612 14:51	2540.95	多头	20120612 14:52	2540.13	1	91	-245	-336.53	2147479424.00	正常
20120612 14:52	2540.13	空头	20120612 14:53	2539.86	1	91	80	-11.61	2147479424.00	正常
20120612 14:53	2539.86	多头	20120612 14:54	2539.48	1	91	-115	-206.35	2147479296.00	正常
20120612 14:54	2539.48	空头	20120612 14:55	2539.08	1	91	121	29.44	2147479424.00	正常
20120612 14:55	2539.08	多头	20120612 14:56	2538.62	1	91	-139	-230.34	2147479296.00	正常
20120612 14:56	2538.62	空头	20120612 14:57	2539.23	1	91	-183	-274.73	2147479040.00	正常
20120612 14:57	2539.23	多头	20120612 14:58	2539.42	1	91	58	-33.26	2147479040.00	正常
20120612 14:58	2539.42	空头	20120612 14:59	2540.12	1	91	-209	-300.25	2147478784.00	正常
20120612 14:59	2540.12	多头	20120613 09:26	2546.79	1	92	2002	1910.66	2147480704.00	正常
20120613 09:26	2546.79	空头	20120613 09:30	2550.26	1	92	-1040	-1131.86	2147479680.00	正常
20120613 09:30	2550.26	多头	20120613 09:31	2551.50	1	92	374	281.92	2147480064.00	正常
20120613 09:31	2551.50	空头	20120613 09:32	2551.95	1	92	-134	-226.26	2147479936.00	正常
20120613 09:32	2551.95	多头	20120613 09:33	2552.15	1	92	60	-32.18	2147479936.00	正常
20120613 09:33	2552.15	空头	20120613 09:34	2550.55	1	92	480	388.40	2147480320.00	正常
20120613 09:34	2550.55	多头	20120613 09:35	2550.72	1	92	52	-39.97	2147480320.00	正常
20120613 09:35	2550.72	空头	20120613 09:36	2552.87	1	92	-645	-736.62	2147479680.00	正常
20120613 09:36	2552.87	多头	20120613 09:37	2553.61	1	92	220	128.54	2147479808.00	正常
20120613 09:37	2553.61	空头	20120613 09:38	2553.53	1	92	23	-68.56	2147479808.00	正常
20120613 09:38	2553.53	多头	20120613 09:39	2554.67	1	92	341	249.43	2147480064.00	正常
20120613 09:39	2554.67	空头	20120613 09:40	2555.23	1	92	-169	-261.17	2147479808.00	正常
20120613 09:40	2555.23	多头	20120613 09:41	2555.44	1	92	63	-29.30	2147479808.00	正常
20120613 09:41	2555.44	空头	20120613 09:42	2554.99	1	92	136	43.58	2147479936.00	正常
20120613 09:42	2554.99	多头	20120613 09:43	2555.85	1	92	259	167.21	2147480192.00	正常
20120613 09:43	2555.85	空头	20120613 09:44	2556.07	1	92	-65	-157.13	2147480064.00	正常
20120613 09:44	2556.07	多头	20120613 09:45	2555.15	1	92	-275	-367.47	2147479680.00	正常
20120613 09:45	2555.15	空头	20120613 09:46	2554.61	1	92	161	68.79	2147479808.00	正常
20120613 09:46	2554.61	多头	20120613 09:47	2553.19	1	92	-429	-520.63	2147479296.00	正常
20120613 09:47	2553.19	空头	20120613 09:48	2552.14	1	92	313	221.29	2147479552.00	正常
20120613 09:48	2552.14	多头	20120613 09:49	2550.79	1	92	-404	-496.00	2147479040.00	正常
20120613 09:49	2550.79	空头	20120613 09:50	2550.55	1	92	72	-19.53	2147479040.00	正常
20120613 09:50	2550.55	多头	20120613 09:51	2550.69	1	92	41	-50.73	2147479040.00	正常
20120613 09:51	2550.69	空头	20120613 09:52	2550.78	1	92	-28	-119.44	2147478912.00	正常
20120613 09:52	2550.78	多头	20120613 09:53	2550.44	1	92	-103	-194.73	2147478784.00	正常
20120613 09:53	2550.44	空头	20120613 09:54	2551.41	1	92	-291	-382.53	2147478400.00	正常
20120613 09:54	2551.41	多头	20120613 09:55	2550.13	1	92	-384	-475.84	2147478016.00	正常
20120613 09:55	2550.13	空头	20120613 09:56	2550.04	1	92	28	-63.90	2147478016.00	正常
20120613 09:56	2550.04	多头	20120613 09:57	2550.26	1	92	69	-23.10	2147478016.00	正常
20120613 09:57	2550.26	空头	20120613 09:58	2551.22	1	92	-285	-376.89	2147477632.00	正常
20120613 09:58	2551.22	多头	20120613 09:59	2551.30	1	92	25	-66.94	2147477632.00	正常
20120613 09:59	2551.30	空头	20120613 10:00	2551.05	1	92	75	-16.55	2147477632.00	正常
20120613 10:00	2551.05	多头	20120613 10:01	2551.17	1	92	35	-56.46	2147477632.00	正常
20120613 10:01	2551.17	空头	20120613 10:02	2550.48	1	92	205	113.10	2147477760.00	正常
