模型名称：DUMP
合约名称：沪深300
测试时间：2012-05-18 -- 2012-06-08
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：0%
单位：300股/手
手续费：0.06‰
----------------------------------
  测试天数：		21		  测试周期数：	4360
  指令总数：		4360		  平均交易周期：1
  初始资金：		330000		  最终权益：	330000
  总收益率(盈利/初始资金)：	0.00%	  盈利：	0.00
  扣除最大盈利后收益率：	0.00%
  扣除最大亏损后收益率：	0.00%

  可靠性(胜率)：	50.05%		  成交额：	0
  期望收益(平均R乘数)：	0.00R		  总手续费：	0

  总交易次数：		4360		
  盈利次数比例：	0.00%		  亏损次数比例：	0.00%
  平均利润率：		0.00%		  平均每次盈利：	0
  标准离差率：		-1.$%		  标准离差：		0.00
  多头次数：		2180		  空头次数：		2179
  多头盈利次数：	0		  空头盈利次数：	0

  盈利次数：		0		  亏损次数：	0
  总盈利：		0(0.00%)	  总亏损：	0(0.00%)
  平均盈利率：		0(0.00%)	  平均亏损率：	0(0.00%)
  最大盈利额：		0(0.00%)	  最大亏损额：	0(0.00%)
  平均盈利周期：	0		  平均亏损周期：	0
  最大盈利周期：	0		  最大亏损周期：	0
  最大连续盈利次数：	0		  最大连续亏损次数：	0
  最大连续盈利：	0(0.00%)	  最大连续亏损：	0(0.00%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120515 14:37	2609.76	多头	20120515 14:38	2610.64	0	0	0	0.00	330000.00	正常
20120515 14:38	2610.64	空头	20120515 14:39	2612.94	0	0	0	0.00	330000.00	正常
20120515 14:39	2612.94	多头	20120515 14:40	2613.03	0	0	0	0.00	330000.00	正常
20120515 14:40	2613.03	空头	20120515 14:41	2612.74	0	0	0	0.00	330000.00	正常
20120515 14:41	2612.74	多头	20120515 14:42	2611.94	0	0	0	0.00	330000.00	正常
20120515 14:42	2611.94	空头	20120515 14:43	2610.94	0	0	0	0.00	330000.00	正常
20120515 14:43	2610.94	多头	20120515 14:44	2612.96	0	0	0	0.00	330000.00	正常
20120515 14:44	2612.96	空头	20120515 14:45	2614.04	0	0	0	0.00	330000.00	正常
20120515 14:45	2614.04	多头	20120515 14:46	2616.07	0	0	0	0.00	330000.00	正常
20120515 14:46	2616.07	空头	20120515 14:47	2615.45	0	0	0	0.00	330000.00	正常
20120515 14:47	2615.45	多头	20120515 14:48	2616.60	0	0	0	0.00	330000.00	正常
20120515 14:48	2616.60	空头	20120515 14:49	2616.31	0	0	0	0.00	330000.00	正常
20120515 14:49	2616.31	多头	20120515 14:50	2617.13	0	0	0	0.00	330000.00	正常
20120515 14:50	2617.13	空头	20120515 14:51	2616.56	0	0	0	0.00	330000.00	正常
20120515 14:51	2616.56	多头	20120515 14:52	2616.53	0	0	0	0.00	330000.00	正常
20120515 14:52	2616.53	空头	20120515 14:53	2616.97	0	0	0	0.00	330000.00	正常
20120515 14:53	2616.97	多头	20120515 14:54	2617.43	0	0	0	0.00	330000.00	正常
20120515 14:54	2617.43	空头	20120515 14:55	2616.32	0	0	0	0.00	330000.00	正常
20120515 14:55	2616.32	多头	20120515 14:56	2617.15	0	0	0	0.00	330000.00	正常
20120515 14:56	2617.15	空头	20120515 14:57	2617.31	0	0	0	0.00	330000.00	正常
20120515 14:57	2617.31	多头	20120515 14:58	2617.83	0	0	0	0.00	330000.00	正常
20120515 14:58	2617.83	空头	20120515 14:59	2617.26	0	0	0	0.00	330000.00	正常
20120515 14:59	2617.26	多头	20120516 09:26	2610.16	0	0	0	0.00	330000.00	正常
20120516 09:26	2610.16	空头	20120516 09:30	2609.73	0	0	0	0.00	330000.00	正常
20120516 09:30	2609.73	多头	20120516 09:31	2607.27	0	0	0	0.00	330000.00	正常
20120516 09:31	2607.27	空头	20120516 09:32	2607.06	0	0	0	0.00	330000.00	正常
20120516 09:32	2607.06	多头	20120516 09:33	2607.22	0	0	0	0.00	330000.00	正常
20120516 09:33	2607.22	空头	20120516 09:34	2606.50	0	0	0	0.00	330000.00	正常
