模型名称：DUMP
合约名称：沪铝1209
测试时间：2012-05-09 -- 2012-06-11
测试周期：1分钟
测试模式：实战模式
开仓时使用的资金比率：100%
最大开仓手数：1000
保证金比率：1%
单位：300吨/手
手续费：0元/手
----------------------------------
  测试天数：		33		  测试周期数：	4455
  指令总数：		4455		  平均交易周期：1
  初始资金：		330000		  最终权益：	300943
  总收益率(盈利/初始资金)：	-8.81%	  盈利：	-29056.88
  扣除最大盈利后收益率：	-18.35%
  扣除最大亏损后收益率：	-2.90%

  可靠性(胜率)：	75.15%		  成交额：	42758242304
  期望收益(平均R乘数)：	0.00R		  总手续费：	535

  总交易次数：		4455		
  盈利次数比例：	23.25%		  亏损次数比例：	24.83%
  平均利润率：		-0.00%		  平均每次盈利：	-7
  标准离差率：		-25562.3%		  标准离差：		1635.30
  多头次数：		2227		  空头次数：		2227
  多头盈利次数：	522		  空头盈利次数：	514

  盈利次数：		1036		  亏损次数：	1106
  总盈利：		1953000(591.82%)	  总亏损：	-1981500(-600.45%)
  平均盈利率：		2026(0.61%)	  平均亏损率：	-1906(-0.58%)
  最大盈利额：		31500(11.49%)	  最大亏损额：	-19500(-6.11%)
  平均盈利周期：	1		  平均亏损周期：	1
  最大盈利周期：	1		  最大亏损周期：	1
  最大连续盈利次数：	8		  最大连续亏损次数：	7
  最大连续盈利：	36000(13.13%)	  最大连续亏损：	-19500(-5.26%)

  空仓总时间：		0		  最长空仓时间：	0
  空仓时间/总时间：	0.00%


开仓时间	开仓价格	交易类型	平仓时间	平仓价格	手数	手续费	盈利	扣除手续费后盈利	总资金	平仓类型

20120509 14:05	16190	多头	20120509 14:07	16190	1	0	0	-0	330000	正常
20120509 14:07	16190	空头	20120509 14:10	16200	1	0	-3000	-3000	327000	正常
20120509 14:10	16200	多头	20120509 14:11	16195	1	0	-1500	-1500	325500	正常
20120509 14:11	16195	空头	20120509 14:12	16200	1	0	-1500	-1500	324000	正常
20120509 14:12	16200	多头	20120509 14:13	16200	1	0	0	-0	323999	正常
20120509 14:13	16200	空头	20120509 14:14	16205	1	0	-1500	-1500	322499	正常
20120509 14:14	16205	多头	20120509 14:15	16200	1	0	-1500	-1500	320999	正常
20120509 14:15	16200	空头	20120509 14:16	16200	1	0	0	-0	320999	正常
20120509 14:16	16200	多头	20120509 14:17	16200	1	0	0	-0	320999	正常
20120509 14:17	16200	空头	20120509 14:19	16200	1	0	0	-0	320999	正常
20120509 14:19	16200	多头	20120509 14:21	16200	1	0	0	-0	320999	正常
20120509 14:21	16200	空头	20120509 14:23	16200	1	0	0	-0	320999	正常
20120509 14:23	16200	多头	20120509 14:24	16200	1	0	0	-0	320998	正常
20120509 14:24	16200	空头	20120509 14:26	16205	1	0	-1500	-1500	319498	正常
20120509 14:26	16205	多头	20120509 14:30	16205	1	0	0	-0	319498	正常
20120509 14:30	16205	空头	20120509 14:31	16200	1	0	1500	1500	320998	正常
20120509 14:31	16200	多头	20120509 14:32	16200	1	0	0	-0	320998	正常
20120509 14:32	16200	空头	20120509 14:33	16205	1	0	-1500	-1500	319498	正常
20120509 14:33	16205	多头	20120509 14:37	16205	1	0	0	-0	319498	正常
20120509 14:37	16205	空头	20120509 14:38	16205	1	0	0	-0	319498	正常
20120509 14:38	16205	多头	20120509 14:40	16205	1	0	0	-0	319497	正常
20120509 14:40	16205	空头	20120509 14:41	16200	1	0	1500	1500	320997	正常
20120509 14:41	16200	多头	20120509 14:42	16205	1	0	1500	1500	322497	正常
20120509 14:42	16205	空头	20120509 14:43	16205	1	0	0	-0	322497	正常
20120509 14:43	16205	多头	20120509 14:45	16205	1	0	0	-0	322497	正常
20120509 14:45	16205	空头	20120509 14:46	16210	1	0	-1500	-1500	320997	正常
20120509 14:46	16210	多头	20120509 14:47	16210	1	0	0	-0	320997	正常
20120509 14:47	16210	空头	20120509 14:48	16210	1	0	0	-0	320997	正常
20120509 14:48	16210	多头	20120509 14:49	16220	1	0	3000	3000	323996	正常
20120509 14:49	16220	空头	20120509 14:50	16215	1	0	1500	1500	325496	正常
20120509 14:50	16215	多头	20120509 14:51	16220	1	0	1500	1500	326996	正常
20120509 14:51	16220	空头	20120509 14:52	16215	1	0	1500	1500	328496	正常
20120509 14:52	16215	多头	20120509 14:53	16215	1	0	0	-0	328496	正常
20120509 14:53	16215	空头	20120509 14:54	16210	1	0	1500	1500	329996	正常
20120509 14:54	16210	多头	20120509 14:55	16200	1	0	-3000	-3000	326996	正常
20120509 14:55	16200	空头	20120509 14:56	16210	1	0	-3000	-3000	323996	正常
20120509 14:56	16210	多头	20120509 14:57	16205	1	0	-1500	-1500	322495	正常
20120509 14:57	16205	空头	20120509 14:58	16205	1	0	0	-0	322495	正常
20120509 14:58	16205	多头	20120509 14:59	16195	1	0	-3000	-3000	319495	正常
20120509 14:59	16195	空头	20120510 09:01	16190	1	0	1500	1500	320995	正常
20120510 09:01	16190	多头	20120510 09:02	16190	1	0	0	-0	320995	正常
20120510 09:02	16190	空头	20120510 09:05	16195	1	0	-1500	-1500	319495	正常
20120510 09:05	16195	多头	20120510 09:06	16190	1	0	-1500	-1500	317995	正常
20120510 09:06	16190	空头	20120510 09:07	16180	1	0	3000	3000	320995	正常
20120510 09:07	16180	多头	20120510 09:08	16185	1	0	1500	1500	322494	正常
20120510 09:08	16185	空头	20120510 09:09	16190	1	0	-1500	-1500	320994	正常
20120510 09:09	16190	多头	20120510 09:10	16185	1	0	-1500	-1500	319494	正常
20120510 09:10	16185	空头	20120510 09:11	16190	1	0	-1500	-1500	317994	正常
20120510 09:11	16190	多头	20120510 09:12	16185	1	0	-1500	-1500	316494	正常
20120510 09:12	16185	空头	20120510 09:13	16185	1	0	0	-0	316494	正常
20120510 09:13	16185	多头	20120510 09:14	16185	1	0	0	-0	316494	正常
20120510 09:14	16185	空头	20120510 09:15	16185	1	0	0	-0	316494	正常
20120510 09:15	16185	多头	20120510 09:16	16180	1	0	-1500	-1500	314993	正常
20120510 09:16	16180	空头	20120510 09:17	16185	1	0	-1500	-1500	313493	正常
20120510 09:17	16185	多头	20120510 09:18	16180	1	0	-1500	-1500	311993	正常
20120510 09:18	16180	空头	20120510 09:19	16180	1	0	0	-0	311993	正常
20120510 09:19	16180	多头	20120510 09:21	16175	1	0	-1500	-1500	310493	正常
20120510 09:21	16175	空头	20120510 09:22	16175	1	0	0	-0	310493	正常
20120510 09:22	16175	多头	20120510 09:23	16175	1	0	0	-0	310493	正常
20120510 09:23	16175	空头	20120510 09:24	16180	1	0	-1500	-1500	308993	正常
20120510 09:24	16180	多头	20120510 09:25	16175	1	0	-1500	-1500	307492	正常
20120510 09:25	16175	空头	20120510 09:26	16180	1	0	-1500	-1500	305992	正常
20120510 09:26	16180	多头	20120510 09:27	16170	1	0	-3000	-3000	302992	正常
20120510 09:27	16170	空头	20120510 09:28	16170	1	0	0	-0	302992	正常
20120510 09:28	16170	多头	20120510 09:30	16175	1	0	1500	1500	304492	正常
20120510 09:30	16175	空头	20120510 09:31	16175	1	0	0	-0	304492	正常
20120510 09:31	16175	多头	20120510 09:32	16175	1	0	0	-0	304492	正常
20120510 09:32	16175	空头	20120510 09:33	16175	1	0	0	-0	304492	正常
20120510 09:33	16175	多头	20120510 09:34	16175	1	0	0	-0	304491	正常
20120510 09:34	16175	空头	20120510 09:35	16175	1	0	0	-0	304491	正常
20120510 09:35	16175	多头	20120510 09:36	16170	1	0	-1500	-1500	302991	正常
