成交日期	成交时间	合约号	买卖	开平	成交价	成交量
20120718	09:33:42	IF1208	买入	平今	2421.6	1	
20120718	09:33:55	IF1207	卖出	平今	2415.8	1	
20120718	09:35:56	IF1207	卖出	开仓	2415.8	1	
20120718	09:35:58	IF1208	买入	开仓	2421.6	1	
20120718	09:43:55	IF1207	买入	平今	2423.6	1	
20120718	09:44:01	IF1208	卖出	平今	2430.6	1	
20120718	09:58:44	m1305	买入	开仓	3430	1	
20120718	09:58:44	m1301	卖出	开仓	3890	1	
20120718	10:15:24	IF1208	卖出	开仓	2431.0	1	
20120718	10:15:31	IF1207	买入	开仓	2422.8	1	
20120718	13:29:35	IF1208	买入	平今	2405.0	1	
20120718	13:29:57	m1305	买入	开仓	3381	1	
20120718	13:29:57	m1301	卖出	开仓	3861	1	
20120718	13:43:12	IF1207	买入	开仓	2385.0	1	
20120718	13:49:11	IF1207	卖出	平今	2386.0	1	
20120718	14:07:21	m1301	买入	平今	3857	1	
20120718	14:07:21	m1305	卖出	平今	3397	1	
20120718	14:19:53	l1209	买入	平今	10015	1	
20120718	14:19:53	v1209	卖出	平今	6520	1	
20120718	14:21:36	l1209	买入	平今	10015	1	
20120718	14:21:36	v1209	卖出	平今	6520	1	
20120718	14:22:48	IF1207	卖出	平今	2398.0	1	
20120718	14:23:09	m1301	买入	平今	3855	3	
20120718	14:23:09	m1305	卖出	平今	3394	3	
20120718	14:40:17	l1209	买入	平今	10005	1	
20120718	14:40:17	v1209	卖出	平今	6525	1	
20120718	14:46:07	IF1208	买入	开仓	2425.6	1	
20120718	14:46:07	IF1207	卖出	开仓	2418.4	1	
20120718	14:49:56	IF1207	买入	平今	2419.4	1	
20120718	15:02:10	IF1208	卖出	平今	2427.8	1	
